,Brand Name,Smartphone Name,color,RAM,Storage/ROM,primary Camera,Secondary Camera,Display size,Battery Capacity,Price,Product url
0,ASUS ,"ASUS ROG Phone 5 (Black, 128 GB)  (8 GB RAM)",Black,8 GB,128 GB,64MP + 13MP + 5MP,24MP Front Camera,17.22 cm (6.78 inch),6000 mAh Lithium Polymer Battery,"Rs. 49,999",https://www.flipkart.com/asus-rog-phone-5-black-128-gb/p/itm8e381f6b8521f?pid=MOBGYSZM3YT4ZEGZ&lid=LSTMOBGYSZM3YT4ZEGZ1EAFGM&marketplace=FLIPKART&q=rog+mobile&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=SEARCH&iid=a121f696-be16-4aea-9b4c-5ae4b8059a94.MOBGYSZM3YT4ZEGZ.SEARCH&ppt=hp&ppn=homepage&ssid=2e9jeo7yv40000001643495756456&qH=137ce4721c9375a4
1,ASUS ,"ASUS ROG Phone 5 (Black, 256 GB)  (12 GB RAM)",Black,12 GB,256 GB,64MP + 13MP + 5MP,24MP Front Camera,17.22 cm (6.78 inch),6000 mAh Lithium Polymer Battery,"Rs. 57,999",https://www.flipkart.com/asus-rog-phone-5-black-256-gb/p/itm3dcf9645d7a01?pid=MOBGYSZMBEHU2GTF&lid=LSTMOBGYSZMBEHU2GTFA1CS5O&marketplace=FLIPKART&q=rog+mobile&store=tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&fm=SEARCH&iid=a121f696-be16-4aea-9b4c-5ae4b8059a94.MOBGYSZMBEHU2GTF.SEARCH&ppt=hp&ppn=homepage&ssid=2e9jeo7yv40000001643495756456&qH=137ce4721c9375a4
2,ASUS ,"ASUS ROG Phone 5 (White, 256 GB)  (12 GB RAM)",White,12 GB,256 GB,64MP + 13MP + 5MP,24MP Front Camera,17.22 cm (6.78 inch),6000 mAh Lithium Polymer Battery,"Rs. 57,999",https://www.flipkart.com/asus-rog-phone-5-white-256-gb/p/itme865ddaf8ca5c?pid=MOBGYSZMXAGRRCMN&lid=LSTMOBGYSZMXAGRRCMN71AMHW&marketplace=FLIPKART&q=rog+mobile&store=tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=SEARCH&iid=a121f696-be16-4aea-9b4c-5ae4b8059a94.MOBGYSZMXAGRRCMN.SEARCH&ppt=hp&ppn=homepage&ssid=2e9jeo7yv40000001643495756456&qH=137ce4721c9375a4
3,ASUS ,"ASUS ROG Phone 5 (White, 128 GB)  (8 GB RAM)",White,8 GB,128 GB,64MP + 13MP + 5MP,24MP Front Camera,17.22 cm (6.78 inch),6000 mAh Lithium Polymer Battery,"Rs. 49,999",https://www.flipkart.com/asus-rog-phone-5-white-128-gb/p/itm2c1e1dea0edee?pid=MOBGYSZMRKX8WWZA&lid=LSTMOBGYSZMRKX8WWZA7ADMRC&marketplace=FLIPKART&q=rog+mobile&store=tyy%2F4io&srno=s_1_4&otracker=search&otracker1=search&fm=SEARCH&iid=a121f696-be16-4aea-9b4c-5ae4b8059a94.MOBGYSZMRKX8WWZA.SEARCH&ppt=hp&ppn=homepage&ssid=2e9jeo7yv40000001643495756456&qH=137ce4721c9375a4
4,ASUS ,"ASUS ROG Phone II (Black, 128 GB)  (8 GB RAM)",Black,8 GB,128 GB,48MP + 13MP,Yes,16.74 cm (6.59 inch),6000 mAh Lithium Polymer Battery,"Rs. 40,999",https://www.flipkart.com/asus-rog-phone-ii-black-128-gb/p/itm99be8e028a908?pid=MOBFK5TPW6UFVZGR&lid=LSTMOBFK5TPW6UFVZGRXVURJG&marketplace=FLIPKART&q=rog+mobile&store=tyy%2F4io&srno=s_1_5&otracker=search&otracker1=search&fm=SEARCH&iid=a121f696-be16-4aea-9b4c-5ae4b8059a94.MOBFK5TPW6UFVZGR.SEARCH&ppt=hp&ppn=homepage&ssid=2e9jeo7yv40000001643495756456&qH=137ce4721c9375a4
5,ASUS ,"ASUS ROG Phone 3 (Black, 128 GB)  (8 GB RAM)",Black,8 GB,128 GB,64MP + 13MP + 5MP,Yes,16.74 cm (6.59 inch),6000 mAh Lithium Polymer Battery,"Rs. 46,999",https://www.flipkart.com/asus-rog-phone-3-black-128-gb/p/itm93ba84fa7cce9?pid=MOBFTHGZEYPWHGHE&lid=LSTMOBFTHGZEYPWHGHE6FE3GU&marketplace=FLIPKART&q=rog+mobile&store=tyy%2F4io&srno=s_1_6&otracker=search&otracker1=search&fm=SEARCH&iid=a121f696-be16-4aea-9b4c-5ae4b8059a94.MOBFTHGZEYPWHGHE.SEARCH&ppt=hp&ppn=homepage&ssid=2e9jeo7yv40000001643495756456&qH=137ce4721c9375a4
6,ASUS ,"ASUS ROG Phone 5 Ultimate (White, 512 GB)  (18 GB RAM)",White,18 GB,512 GB,64MP + 13MP + 5MP,24MP Front Camera,17.22 cm (6.78 inch),6000 mAh Lithium Polymer Battery,"Rs. 79,999",https://www.flipkart.com/asus-rog-phone-5-ultimate-white-512-gb/p/itmc98435da0580e?pid=MOBGYSZMYBSKHQN4&lid=LSTMOBGYSZMYBSKHQN4SP6AJC&marketplace=FLIPKART&q=rog+mobile&store=tyy%2F4io&srno=s_1_7&otracker=search&otracker1=search&fm=SEARCH&iid=a121f696-be16-4aea-9b4c-5ae4b8059a94.MOBGYSZMYBSKHQN4.SEARCH&ppt=hp&ppn=homepage&ssid=2e9jeo7yv40000001643495756456&qH=137ce4721c9375a4
7,ASUS ,"ASUS ROG (Black, 128 GB)  (8 GB RAM)",Black,8 GB,128 GB,12MP + 8MP,8MP Front Camera,15.24 cm (6 inch),6000 mAh Lithium Polymer Battery,"Rs. 83,999",https://www.flipkart.com/asus-rog-black-128-gb/p/itmfb24ekx6ygptv?pid=MOBFB24EEZCFUBRS&lid=LSTMOBFB24EEZCFUBRSQ0BOUF&marketplace=FLIPKART&q=rog+mobile&store=tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&fm=SEARCH&iid=a121f696-be16-4aea-9b4c-5ae4b8059a94.MOBFB24EEZCFUBRS.SEARCH&ppt=hp&ppn=homepage&ssid=2e9jeo7yv40000001643495756456&qH=137ce4721c9375a4
8,ASUS ,"ASUS ROG Phone 3 (Black, 128 GB)  (12 GB RAM)",Black,12 GB,128 GB,64MP + 13MP + 5MP,Yes,16.74 cm (6.59 inch),6000 mAh Lithium Polymer Battery,"Rs. 49,999",https://www.flipkart.com/asus-rog-phone-3-black-128-gb/p/itmf8623d755871d?pid=MOBFUXPBV3TFMPAH&lid=LSTMOBFUXPBV3TFMPAH63D3RA&marketplace=FLIPKART&q=rog+mobile&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=SEARCH&iid=a121f696-be16-4aea-9b4c-5ae4b8059a94.MOBFUXPBV3TFMPAH.SEARCH&ppt=hp&ppn=homepage&ssid=2e9jeo7yv40000001643495756456&qH=137ce4721c9375a4
9,ASUS ,"ASUS ROG Phone 3 (Black, 256 GB)  (12 GB RAM)",Black,12 GB,256 GB,64MP + 13MP + 5MP,Yes,16.74 cm (6.59 inch),6000 mAh Lithium Polymer Battery,"Rs. 57,999",https://www.flipkart.com/asus-rog-phone-3-black-256-gb/p/itm6afca808c4251?pid=MOBFTW89GSNGTYBZ&lid=LSTMOBFTW89GSNGTYBZEK5FN1&marketplace=FLIPKART&q=rog+mobile&store=tyy%2F4io&srno=s_1_10&otracker=search&otracker1=search&fm=SEARCH&iid=a121f696-be16-4aea-9b4c-5ae4b8059a94.MOBFTW89GSNGTYBZ.SEARCH&ppt=hp&ppn=homepage&ssid=2e9jeo7yv40000001643495756456&qH=137ce4721c9375a4
10,ASUS ,"ASUS ROG Phone 5 Pro (Black, 512 GB)  (16 GB RAM)",Black,16 GB,512 GB,64MP + 13MP + 5MP,24MP Front Camera,17.22 cm (6.78 inch),6000 mAh Lithium Polymer Battery,"Rs. 69,999",https://www.flipkart.com/asus-rog-phone-5-pro-black-512-gb/p/itm4548ce614c5da?pid=MOBGYSZMU9FH9B9C&lid=LSTMOBGYSZMU9FH9B9CAAEMQK&marketplace=FLIPKART&q=rog+mobile&store=tyy%2F4io&srno=s_1_11&otracker=search&otracker1=search&fm=SEARCH&iid=a121f696-be16-4aea-9b4c-5ae4b8059a94.MOBGYSZMU9FH9B9C.SEARCH&ppt=hp&ppn=homepage&ssid=2e9jeo7yv40000001643495756456&qH=137ce4721c9375a4
11,ASUS ,"ASUS ROG Phone II (Black, 512 GB)  (12 GB RAM)",Black,12 GB,512 GB,48MP + 13MP,Yes,16.74 cm (6.59 inch),6000 mAh Lithium Polymer Battery,"Rs. 62,999",https://www.flipkart.com/asus-rog-phone-ii-black-512-gb/p/itm3243422f778af?pid=MOBFK5TPGZUJCTWM&lid=LSTMOBFK5TPGZUJCTWMRZ7ZDZ&marketplace=FLIPKART&q=rog+mobile&store=tyy%2F4io&srno=s_1_12&otracker=search&otracker1=search&fm=SEARCH&iid=a121f696-be16-4aea-9b4c-5ae4b8059a94.MOBFK5TPGZUJCTWM.SEARCH&ppt=hp&ppn=homepage&ssid=2e9jeo7yv40000001643495756456&qH=137ce4721c9375a4
